DF_Market,Location,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Greece,Aktio,Regular,Full Flavor,SSL,100,3,26,11.538462000000
Germany,Bremen,Regular,Lights,STD,KS,3,11,27.272727000000
Dominican Republic,Santo Domingo Las Americas,Menthol,Full Flavor,SSL,100,2,28,7.142857000000
China,Hefei Xinqiao,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Spain DP,Santiago De Compostela,Regular,Full Flavor,SSL,100,2,23,8.695652000000
Bosnia-Herzegovinia,Banja Luka,Regular,Full Flavor,SSL,KS,1,14,7.142857000000
Sri Lanka,Colombo,Regular,Full Flavor,STD,KS,26,40,65.000000000000
Mexico,Los Cabos,Regular,Full Flavor,SSL,100,3,48,6.250000000000
China,Yinchuan Hedong,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
Hong Kong,Hong Kong,Regular,Full Flavor,STD,LONGER THAN KS,1,42,2.380952000000
China,Dalian Zhoushuizi,Regular,Full Flavor,STD,KS,56,73,76.712329000000
Saudi Arabia,RIYADH,NTD Caps,Full Flavor,STD,100,1,41,2.439024000000
France,Lyon Saint Exupery,Regular,Lights,STD,KS,4,28,14.285714000000
Saudi Arabia,Medina,NTD Caps,Full Flavor,STD,KS,2,37,5.405405000000
Portugal,Faro Airport,Regular,Full Flavor,SSL,100,1,16,6.250000000000
Italy,Venice,Regular,Full Flavor,SSL,100,1,19,5.263158000000
Indonesia,Ngurah Rai,Menthol,Full Flavor,STD,100,1,73,1.369863000000
Spain,Sevilla,Regular,Lights,STD,KS,7,42,16.666667000000
Kuwait,Kuwait,Regular,Full Flavor,SSL,KS,1,59,1.694915000000
Great Britain,Norwich,Regular,Full Flavor,STD,KS,9,17,52.941176000000
China,Urumchi Diwobao,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Panama,Panama Tocumen,Menthol,Full Flavor,STD,KS,2,20,10.000000000000
Kenya,Jomo Kenyatta,Regular,Lights,STD,KS,4,36,11.111111000000
Greece,Skiathos,Regular,Full Flavor,STD,KS,10,16,62.500000000000
United Arab Emirates,Abu Dhabi,Menthol Caps,Full Flavor,STD,KS,2,55,3.636364000000
Turkey,Kutahya Airport,Regular,Full Flavor,SSL,100,4,17,23.529412000000
Ivory Coast,Abidjan,Regular,Lights,STD,KS,3,34,8.823529000000
Bahrain,Manama,Regular,Lights,SSL,100,2,56,3.571429000000
Italy,Venice,Regular,Lights,STD,100,1,19,5.263158000000
Cambodia,Phnom Penh,Menthol,Full Flavor,STD,100,1,74,1.351351000000
Mexico,Cancun,Menthol,Full Flavor,STD,KS,4,60,6.666667000000
Saudi Arabia,RIYADH,Regular,Full Flavor,SSL,KS,1,41,2.439024000000
Poland,Szczecin,Regular,Lights,STD,100,1,8,12.500000000000
Great Britain,London Southend Airport,Regular,Lights,STD,100,1,20,5.000000000000
Greece,Aktio,Regular,Full Flavor,STD,KS,16,26,61.538462000000
Morocco,Casablanca,NTD Caps,Full Flavor,STD,KS,9,88,10.227273000000
China,Chengdu Tianfu,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
China,Urumchi Diwobao,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Germany,Frankfurt,Regular,Full Flavor,SSL,100,1,34,2.941176000000
Spain DP,Mahon Airport,Menthol,Full Flavor,STD,KS,2,38,5.263158000000
South Korea,Daegu,Menthol,Full Flavor,STD,KS,3,80,3.750000000000
France,Nantes,Regular,Lights,STD,KS,3,22,13.636364000000
Cape Verde,Praia,NTD Caps,Full Flavor,SSL,100,1,22,4.545455000000
Mexico,Ixtapa Zihuatanejo,Menthol,Full Flavor,SSL,100,2,20,10.000000000000
Gabon,Gabon,Regular,Full Flavor,STD,KS,15,29,51.724138000000
Macau,Macau,Regular,Full Flavor,STD,100,1,24,4.166667000000
Bulgaria,Bourgas,NTD Caps,Full Flavor,STD,KS,1,25,4.000000000000
Taiwan,Kaohsiung,NTD Caps,Full Flavor,STD,KS,1,27,3.703704000000
Spain,Murcia,Regular,Lights,STD,100,1,18,5.555556000000
Dominican Republic,Samana El Catey,Menthol,Full Flavor,STD,KS,1,13,7.692308000000
Tunisia,Tunis,NTD Caps,Full Flavor,STD,KS,7,68,10.294118000000
Tunisia,Enfidha,NTD Caps,Full Flavor,STD,KS,8,50,16.000000000000
Spain DP,Murcia,Menthol,Full Flavor,STD,KS,2,18,11.111111000000
France DP,Grenoble,Regular,Lights,STD,KS,3,11,27.272727000000
Japan,Osaka - Kansai,Regular,Full Flavor,SSL,100,9,145,6.206897000000
Mexico,La Paz Manuel Marquez de Leon,Regular,Lights,STD,100,1,4,25.000000000000
Caribbean Other,Basseterre (Saint Kitts),Regular,Lights,STD,100,1,24,4.166667000000
China,Mudanjiang Hailang,NTD Caps,Full Flavor,STD,KS,1,71,1.408451000000
Morocco,Oujda,Menthol,Full Flavor,SSL,100,3,63,4.761905000000
Spain,Malaga,Menthol,Full Flavor,STD,KS,2,49,4.081633000000
Canary Islands,Gran Canaria,Regular,Full Flavor,STD,KS,29,42,69.047619000000
France DP,Marseille,Regular,Full Flavor,STD,KS,15,25,60.000000000000
Greece,Corfu,Regular,Lights,STD,100,2,33,6.060606000000
Japan,Osaka - Kansai,Menthol,Full Flavor,SSL,100,1,145,0.689655000000
Italy,Rome Fiumicino,Regular,Lights,STD,100,1,22,4.545455000000
Turkey,Istanbul Asia Airport,Regular,Lights,STD,100,2,102,1.960784000000
Russia,St. Petersburg Pulkovo,Menthol,Full Flavor,STD,100,1,17,5.882353000000
France DP,Toulouse,Regular,Full Flavor,SSL,100,4,34,11.764706000000
Taiwan,Kaohsiung,Regular,Lights,STD,KS,5,27,18.518519000000
Macedonia,Skopje,NTD Caps,Full Flavor,SSL,100,1,33,3.030303000000
Great Britain,Cardiff,NTD Caps,Full Flavor,STD,KS,1,21,4.761905000000
Indonesia,Ngurah Rai,Regular,Full Flavor,SSL,100,6,73,8.219178000000
Turkey,Ankara Airport,Menthol,Full Flavor,STD,KS,3,87,3.448276000000
South Korea,Muan,NTD Caps,Full Flavor,SSL,100,10,51,19.607843000000
Turkey,Adana Airport,Regular,Lights,STD,KS,2,33,6.060606000000
Brazil,Florianopolis,NTD Caps,Full Flavor,STD,KS,5,26,19.230769000000
Turkey,Kutahya Airport,Regular,Full Flavor,SLI,KS,1,17,5.882353000000
Spain,Santiago De Compostela,Regular,Full Flavor,STD,100,1,23,4.347826000000
Peru,Lima,NTD Caps,Full Flavor,STD,KS,7,56,12.500000000000
China,Weihai Dashuibo,Regular,Full Flavor,SSL,100,4,68,5.882353000000
South Korea,Busan - Kimhae,Menthol Caps,Full Flavor,STD,KS,2,93,2.150538000000
China,Shenyang Taoxian,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
Jordan,Amman,Menthol,Full Flavor,SSL,100,2,69,2.898551000000
China,Qingdao Liuting,Regular,Lights,STD,KS,2,73,2.739726000000
Great Britain,Exeter,Regular,Full Flavor,STD,KS,15,26,57.692308000000
Norway,Trondheim,Regular,Full Flavor,SSL,KS,1,16,6.250000000000
China,Nanchang Changbei,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Netherlands,Rotterdam,Regular,Full Flavor,STD,KS,4,6,66.666667000000
Jordan,Marka,Regular,Lights,STD,KS,2,6,33.333333000000
Spain DP,Valencia,Menthol,Full Flavor,STD,KS,1,42,2.380952000000
China,Jinan Xiaoqiang,Regular,Full Flavor,STD,100,2,73,2.739726000000
Great Britain,Glasgow,Regular,Lights,STD,100,1,30,3.333333000000
Turkey,Bodrum Airport,Regular,Ultralights,STD,KS,1,98,1.020408000000
Jordan,Aqaba,Regular,Full Flavor,SSL,100,4,39,10.256410000000
Great Britain,Bristol,Regular,Full Flavor,STD,100,1,29,3.448276000000
Turkey,Kayseri Airport,Regular,Lights,STD,100,1,47,2.127660000000
Kenya,Jomo Kenyatta,Regular,Full Flavor,SSL,100,3,36,8.333333000000
China,Zhengzhou Xinzheng,Regular,Full Flavor,STD,KS,56,73,76.712329000000
France DP,Tarbes - Lourdes,Regular,Lights,STD,KS,2,9,22.222222000000
Tanzania,Kilimanjaro,Regular,Lights,STD,KS,4,21,19.047619000000
Turkey,Ankara Airport,Regular,Lights,STD,100,1,87,1.149425000000
Great Britain,Bristol,Regular,Ultralights,STD,KS,1,29,3.448276000000
Czech Republic,Ostrava,Regular,Full Flavor,STD,KS,2,4,50.000000000000
Saudi Arabia,Medina,Regular,Full Flavor,STD,100,1,37,2.702703000000
Brazil,Belo Horizonte,Menthol,Full Flavor,SSL,100,1,33,3.030303000000
Morocco,Essaouira,NTD Caps,Full Flavor,STD,KS,3,46,6.521739000000
South Korea,Incheon,Menthol Caps,Full Flavor,SSL,100,1,94,1.063830000000
Belgium,Charleroi,Regular,Lights,STD,KS,2,15,13.333333000000
Italy,Palermo,Regular,Full Flavor,STD,KS,5,10,50.000000000000
Jamaica,Montego Bay,Menthol,Full Flavor,SSL,100,2,61,3.278689000000
Lithuania,Vilnius,Regular,Full Flavor,STD,KS,2,6,33.333333000000
Germany,Paderborn,Regular,Full Flavor,STD,KS,8,9,88.888889000000
Greece,Zakynthos,Regular,Full Flavor,SSL,100,5,35,14.285714000000
Italy,Bari,Regular,Full Flavor,STD,KS,1,2,50.000000000000
Russia,Moscow - Domodedovo,Regular,Lights,STD,KS,2,13,15.384615000000
Turkey,Cukurova Airport,Regular,Lights,STD,100,1,65,1.538462000000
China,Yancheng Nanyang,Regular,Full Flavor,SSL,100,3,52,5.769231000000
South Korea,Yangyang,Regular,Lights,STD,KS,1,43,2.325581000000
Spain,Reus,Regular,Lights,STD,KS,5,28,17.857143000000
Portugal,Porto,Regular,Lights,STD,KS,3,16,18.750000000000
Great Britain,Glasgow Prestwick,Regular,Full Flavor,STD,KS,9,16,56.250000000000
Mexico,Cancun,Regular,Lights,STD,100,1,60,1.666667000000
Morocco,Marrakech,Regular,Full Flavor,STD,100,1,84,1.190476000000
Malaysia,Johor Bahru,Menthol Caps,Full Flavor,STD,KS,1,13,7.692308000000
France,Grenoble,Regular,Lights,STD,KS,3,14,21.428571000000
Spain DP,Palma De Mallorca,NTD Caps,Full Flavor,STD,KS,1,48,2.083333000000
Brazil,Viracopos,Regular,Full Flavor,SSL,100,3,36,8.333333000000
Japan,Okayama,Menthol,Full Flavor,STD,KS,3,16,18.750000000000
Russia,St. Petersburg Pulkovo,Regular,Full Flavor,STD,KS,9,17,52.941176000000
Serbia,Belgrade,Regular,Lights,STD,KS,4,30,13.333333000000
Tanzania,Kilimanjaro,Menthol,Full Flavor,SSL,100,1,21,4.761905000000
Switzerland,Zurich,Regular,Full Flavor,SSL,100,9,68,13.235294000000
China,Xiamen Gaoqi,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Russia,Moscow - Sheremetyevo,Regular,Full Flavor,STD,KS,8,22,36.363636000000
Spain,Sevilla,Regular,Full Flavor,SSL,100,4,42,9.523810000000
Israel,Tel-Aviv,Regular,Full Flavor,STD,KS,4,4,100.000000000000
Japan,Fukuoka,Menthol,Full Flavor,STD,KS,6,86,6.976744000000
China,Urumchi Diwobao,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
China,Guangzhou Baiyun,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
Turkey,Antalya Gazipasa Airport,NTD Caps,Full Flavor,STD,KS,5,49,10.204082000000
China,Hohhot Baita,NTD Caps,Full Flavor,STD,KS,1,73,1.369863000000
Bahrain,Manama,Menthol Caps,Full Flavor,STD,KS,1,56,1.785714000000
Hong Kong,Hong Kong,Regular,Full Flavor,SSL,100,1,42,2.380952000000
China,Taiyuan Wusu,Regular,Full Flavor,STD,100,2,73,2.739726000000
Mexico,Guadalajara,Menthol,Full Flavor,SSL,100,2,34,5.882353000000
Portugal,Lisbon,Regular,Lights,STD,KS,3,16,18.750000000000
Kuwait,Kuwait,Regular,Ultralights,STD,KS,1,59,1.694915000000
South Korea,Cheongju,Regular,Lights,SSL,100,1,78,1.282051000000
Tanzania,Dar Es Salaam,Regular,Ultralights,STD,KS,1,26,3.846154000000
Vietnam,Danang,Regular,Full Flavor,STD,KS,10,10,100.000000000000
Spain DP,Santander,Regular,Lights,STD,KS,2,7,28.571429000000
China,Fuzhou Changle,Regular,Full Flavor,STD,KS,56,73,76.712329000000
Turkey,Izmir Airport,Menthol Caps,Full Flavor,STD,KS,2,103,1.941748000000
Brazil,Brasilia,Menthol,Full Flavor,SSL,100,2,34,5.882353000000
France,Chambery,Regular,Lights,STD,KS,2,12,16.666667000000
Malaysia,Penang,Regular,Lights,STD,KS,1,7,14.285714000000
Spain DP,Valencia,Regular,Ultralights,STD,KS,1,42,2.380952000000
Japan,Osaka - Kansai,Menthol Caps,Full Flavor,STD,KS,8,145,5.517241000000
Tunisia,Tunis,Menthol,Full Flavor,SSL,100,4,68,5.882353000000
Tunisia,Monastir,Regular,Lights,STD,KS,3,65,4.615385000000
Turkey,Eskisehir Airport,Regular,Full Flavor,STD,KS,16,26,61.538462000000
France,Chambery,Regular,Lights,STD,100,1,12,8.333333000000
Great Britain,London Gatwick,Regular,Full Flavor,STD,KS,16,31,51.612903000000
Norway,Stavanger,Menthol,Full Flavor,STD,KS,1,18,5.555556000000
Spain DP,Barcelona,Regular,Full Flavor,SSL,100,4,50,8.000000000000
Spain,Gerona,Menthol,Full Flavor,STD,KS,2,41,4.878049000000
Turkey,Istanbul Asia Airport,Regular,Full Flavor,SSL,100,17,102,16.666667000000
Portugal,Porto,Regular,Lights,STD,100,1,16,6.250000000000
Germany,Dresden,Regular,Lights,STD,KS,3,9,33.333333000000
Mexico,Mexico City,Regular,Lights,STD,100,1,57,1.754386000000
Great Britain,London Southend Airport,Regular,Full Flavor,STD,100,1,20,5.000000000000
Georgia,Kutaisi,Regular,Full Flavor,STD,KS,6,13,46.153846000000
China,Yantai Penglai,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Tunisia,Tunis,Menthol,Full Flavor,STD,KS,1,68,1.470588000000
Great Britain,East Midlands,Regular,Full Flavor,SSL,100,2,26,7.692308000000
Italy,Naples,Regular,Lights,STD,KS,4,19,21.052632000000
Spain DP,Malaga,Regular,Lights,STD,100,1,49,2.040816000000
Great Britain,Aberdeen,Menthol,Full Flavor,STD,KS,2,23,8.695652000000
Morocco,Tangier,Menthol,Full Flavor,STD,KS,4,75,5.333333000000
Tanzania,Dar Es Salaam,Menthol,Full Flavor,SSL,100,1,26,3.846154000000
China,Shanghai Hongqiao,Regular,Full Flavor,STD,LONGER THAN KS,1,71,1.408451000000
Great Britain,Edinburgh,Regular,Full Flavor,SSL,100,2,30,6.666667000000
China,Beijing,Menthol,Full Flavor,STD,KS,3,71,4.225352000000
Canary Islands,Lanzarote,Menthol,Full Flavor,STD,KS,2,42,4.761905000000
Turkey,Kutahya Airport,Regular,Full Flavor,STD,KS,11,17,64.705882000000
Dominican Republic,Santiago Cibao,Regular,Full Flavor,STD,KS,6,9,66.666667000000
Tanzania,Kilimanjaro,Regular,Full Flavor,STD,KS,12,21,57.142857000000
Brazil,Sao Paulo - Guarulhos,Regular,Full Flavor,STD,KS,24,39,61.538462000000
South Korea,Busan - Kimhae,NTD Caps,Full Flavor,SSL,100,10,93,10.752688000000
France DP,Marseille,Regular,Full Flavor,SSL,100,2,25,8.000000000000
Spain,Reus,Menthol,Full Flavor,STD,KS,2,28,7.142857000000
Morocco,Agadir,Regular,Lights,STD,100,2,82,2.439024000000
Great Britain,Liverpool,Menthol,Full Flavor,STD,KS,2,25,8.000000000000
Kazakhstan,Astana,Menthol,Full Flavor,STD,100,1,17,5.882353000000
Ethiopia,Addis Ababa,Regular,Full Flavor,SSL,100,4,74,5.405405000000
Turkey,Denizli Cardak Airport,Regular,Full Flavor,SSL,100,4,23,17.391304000000
Tunisia,Jerba,Regular,Full Flavor,SSL,100,6,63,9.523810000000
Mexico,Guadalajara,Regular,Lights,STD,KS,4,34,11.764706000000
Great Britain,Newcastle,Regular,Lights,STD,KS,4,25,16.000000000000
South Korea,Muan,Menthol,Full Flavor,STD,KS,1,51,1.960784000000
China,Jinan Xiaoqiang,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
France,Marseille,Regular,Full Flavor,STD,KS,17,27,62.962963000000
Indonesia,Ngurah Rai,Menthol Caps,Full Flavor,STD,KS,4,73,5.479452000000
Guadalupe,Pointe-a-Pitre,Regular,Lights,STD,KS,1,20,5.000000000000
Mexico,Cozumel,Menthol,Full Flavor,STD,KS,1,29,3.448276000000
Cape Verde,Espargos,Regular,Full Flavor,SLI,100,1,39,2.564103000000
France DP,Beauvais,Regular,Full Flavor,SSL,100,1,13,7.692308000000
China,Wuhan Tianhe,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
Tunisia,Monastir,Menthol,Full Flavor,STD,KS,2,65,3.076923000000
Russia,Krasnoyarsk,Regular,Full Flavor,STD,100,2,19,10.526316000000
Morocco,Rabat,Regular,Full Flavor,STD,100,1,72,1.388889000000
Spain,Malaga,Regular,Lights,STD,100,1,49,2.040816000000
France,Toulouse,Regular,Full Flavor,STD,100,1,36,2.777778000000
Kuwait,Kuwait,Menthol,Full Flavor,STD,LONGER THAN KS,1,59,1.694915000000
Great Britain,London Southend Airport,Regular,Full Flavor,STD,KS,10,20,50.000000000000
Spain DP,Santander,Regular,Ultralights,STD,KS,1,7,14.285714000000
Great Britain,Humberside,Regular,Ultralights,STD,KS,1,18,5.555556000000
Tunisia,Jerba,Menthol,Full Flavor,STD,KS,1,63,1.587302000000
Tunisia,Tunis,Regular,Full Flavor,STD,KS,35,68,51.470588000000
China,Beijing,NTD Caps,Full Flavor,STD,KS,1,71,1.408451000000
Vietnam,Cam Ranh,Regular,Full Flavor,STD,KS,10,10,100.000000000000
Turkey,Samsun Airport,NTD Caps,Full Flavor,STD,KS,5,70,7.142857000000
Bahrain,Manama,Regular,Full Flavor,SLI,100,1,56,1.785714000000
Spain DP,Asturias,Regular,Full Flavor,STD,KS,6,9,66.666667000000
Great Britain,London Gatwick,Regular,Lights,STD,100,1,31,3.225806000000
Morocco,Marrakech,Regular,Full Flavor,SLI,100,1,84,1.190476000000
Ecuador,Quito,NTD Caps,Full Flavor,STD,KS,3,19,15.789474000000
Morocco,Casablanca,Regular,Full Flavor,STD,KS,45,88,51.136364000000
Macedonia,Skopje,NTD Caps,Full Flavor,STD,KS,2,33,6.060606000000
Kuwait,Kuwait,Menthol,Full Flavor,STD,KS,1,59,1.694915000000
United Arab Emirates,Sharjah,NTD Caps,Full Flavor,STD,KS,4,61,6.557377000000
Germany,Hamburg,Regular,Full Flavor,STD,KS,21,26,80.769231000000
Turkey,Diyarbakir Airport,Regular,Lights,STD,KS,2,82,2.439024000000
Morocco,Fes,Menthol,Full Flavor,SSL,100,4,67,5.970149000000
Spain,Almeria,Menthol,Full Flavor,STD,KS,1,27,3.703704000000
Dominican Republic,Punta Cana - Higuey,NTD Caps,Full Flavor,STD,KS,7,66,10.606061000000
Dominican Republic,Punta Cana - Higuey,Regular,Lights,STD,KS,4,66,6.060606000000
China,Harbin Taiping,Menthol,Full Flavor,SSL,100,1,70,1.428571000000
China,Xian Xianyang,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Italy,Bologna,Regular,Lights,STD,KS,1,3,33.333333000000
Turkey,Trabzon Airport,Regular,Full Flavor,STD,100,2,37,5.405405000000
Turkey,Istanbul Asia Airport,Menthol Caps,Full Flavor,STD,KS,1,102,0.980392000000
Turkey,Izmir Airport,Regular,Lights,STD,100,2,103,1.941748000000
China,Qingdao Liuting,Regular,Full Flavor,STD,KS,56,73,76.712329000000
United Arab Emirates,Dubai,Regular,Lights,STD,100,1,109,0.917431000000
France,Lille,Regular,Full Flavor,STD,KS,6,9,66.666667000000
Turkey,Konya Airport,Regular,Full Flavor,STD,100,1,33,3.030303000000
Japan,Tokyo - Narita,Regular,Lights,STD,KS,1,88,1.136364000000
China,Wuxi Shuofang,Regular,Full Flavor,STD,100,2,73,2.739726000000
Great Britain,Glasgow,NTD Caps,Full Flavor,STD,KS,1,30,3.333333000000
China,Urumchi Diwobao,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
France,Marseille,Regular,Lights,STD,100,2,27,7.407407000000
Spain,Valencia,Regular,Ultralights,STD,KS,1,42,2.380952000000
Mexico,Cozumel,Regular,Full Flavor,STD,KS,17,29,58.620690000000
Mauritania,Nouakchott,Regular,Full Flavor,SSL,100,3,19,15.789474000000
China,Chengdu Tianfu,NTD Caps,Full Flavor,SSL,100,1,73,1.369863000000
Greece,Kos,Regular,Full Flavor,STD,100,1,29,3.448276000000
Morocco,Tangier,Regular,Ultralights,STD,KS,1,75,1.333333000000
France,Grenoble,Regular,Full Flavor,STD,KS,7,14,50.000000000000
Macedonia,Skopje,Regular,Full Flavor,SLI,KS,1,33,3.030303000000
China,Xiamen Gaoqi,Regular,Full Flavor,STD,100,2,73,2.739726000000
Switzerland,Basel,Menthol,Full Flavor,STD,KS,1,50,2.000000000000
China,Changchun Longjia,Regular,Full Flavor,STD,KS,56,73,76.712329000000
Georgia,Kutaisi,Regular,Full Flavor,STD,100,1,13,7.692308000000
Bahrain,Manama,Regular,Lights,STD,KS,6,56,10.714286000000
China,Chongqing Jiangbei,Menthol,Full Flavor,SLI,100,1,73,1.369863000000
Saudi Arabia,DAMMAM,Regular,Full Flavor,SSL,KS,1,37,2.702703000000
Greece,Athens,Regular,Lights,STD,KS,5,39,12.820513000000
Great Britain,Edinburgh,Regular,Lights,STD,KS,6,30,20.000000000000
Turkey,Samsun Airport,Menthol,Full Flavor,STD,KS,1,70,1.428571000000
France,Chambery,Regular,Full Flavor,STD,100,1,12,8.333333000000
Italy,Naples,Regular,Full Flavor,STD,KS,12,19,63.157895000000
China,Wuhan Tianhe,Menthol,Full Flavor,STD,KS,3,73,4.109589000000
Tunisia,Tozeur,Menthol,Full Flavor,SSL,100,2,11,18.181818000000
China,Xiamen Gaoqi,Regular,Lights,STD,KS,2,73,2.739726000000
Mexico,Puerto Vallarta,Menthol,Full Flavor,SSL,100,2,40,5.000000000000
Greece,Kos,Regular,Lights,STD,KS,4,29,13.793103000000
Italy,Milan - Malpensa,Regular,Full Flavor,STD,KS,17,26,65.384615000000
Great Britain,Glasgow,Regular,Ultralights,STD,KS,1,30,3.333333000000
Ivory Coast,Abidjan,NTD Caps,Full Flavor,STD,KS,2,34,5.882353000000
Portugal,Lisbon,Regular,Full Flavor,SSL,100,1,16,6.250000000000
China,Chengdu Tianfu,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Brazil,Porto Alegre,NTD Caps,Full Flavor,STD,KS,5,19,26.315789000000
Norway,Stavanger,Regular,Lights,STD,KS,1,18,5.555556000000
Great Britain,Birmingham,NTD Caps,Full Flavor,STD,KS,1,32,3.125000000000
France DP,Lille,Regular,Full Flavor,SSL,100,1,9,11.111111000000
South Korea,Seoul,Regular,Full Flavor,SLI,100,1,93,1.075269000000
Dominican Republic,Puerto Plata,Menthol,Full Flavor,STD,KS,3,27,11.111111000000
Spain,Palma De Mallorca,Regular,Ultralights,STD,KS,1,48,2.083333000000
Dominican Republic,Santo Domingo Las Americas,Regular,Lights,STD,KS,3,28,10.714286000000
Great Britain,London Heathrow,Regular,Lights,STD,100,1,31,3.225806000000
United Arab Emirates,Sharjah,Regular,Full Flavor,STD,KS,30,61,49.180328000000
Gabon,Gabon,Menthol,Full Flavor,SSL,100,1,29,3.448276000000
Tunisia,Monastir,Menthol,Full Flavor,STD,100,1,65,1.538462000000
Greece,Corfu,Menthol,Full Flavor,SSL,100,1,33,3.030303000000
Morocco,Rabat,Menthol Caps,Full Flavor,STD,KS,2,72,2.777778000000
Turkey,Bodrum Airport,Regular,Lights,STD,KS,8,98,8.163265000000
Caribbean Other,Basseterre (Saint Kitts),Regular,Lights,STD,KS,3,24,12.500000000000
Portugal,Lisbon,Regular,Full Flavor,STD,KS,8,16,50.000000000000
China,Kunming Wujiaba,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Aruba,Oranjestad,Regular,Full Flavor,SSL,100,4,48,8.333333000000
Italy,Milan - Linate,Regular,Lights,STD,KS,3,12,25.000000000000
Jamaica,Montego Bay,Regular,Full Flavor,SSL,100,3,61,4.918033000000
Spain DP,Madrid Barajas,Regular,Full Flavor,SSL,100,4,51,7.843137000000
Turkey,Ankara Airport,Regular,Ultralights,STD,KS,1,87,1.149425000000
United Arab Emirates,Abu Dhabi,NTD Caps,Full Flavor,STD,KS,5,55,9.090909000000
China,Harbin Taiping,Regular,Full Flavor,STD,100,2,70,2.857143000000
China,Ningbo Lishe,Regular,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Morocco,Nador,NTD Caps,Full Flavor,STD,KS,4,33,12.121212000000
China,Mudanjiang Hailang,Menthol,Full Flavor,SSL,100,1,71,1.408451000000
Morocco,Oujda,Regular,Full Flavor,SSL,100,5,63,7.936508000000
Germany,Frankfurt,NTD Caps,Full Flavor,STD,KS,1,34,2.941176000000
Macedonia,Skopje,Menthol,Full Flavor,SSL,100,2,33,6.060606000000
Kyrgyzstan,Manas,Regular,Full Flavor,SSL,100,3,56,5.357143000000
Albania,Tirana,Regular,Lights,STD,100,1,81,1.234568000000
Spain DP,Palma De Mallorca,Regular,Lights,STD,100,1,48,2.083333000000
Morocco,Tangier,Regular,Full Flavor,STD,100,1,75,1.333333000000
China,Wuxi Shuofang,Menthol,Full Flavor,STD,LONGER THAN KS,1,73,1.369863000000
Italy,Florence,Regular,Full Flavor,STD,KS,10,14,71.428571000000
Morocco,Rabat,Regular,Full Flavor,SSL,100,5,72,6.944444000000
Greece,Aktio,Regular,Full Flavor,STD,100,1,26,3.846154000000
Martinique,Fort-de-France,Regular,Full Flavor,SSL,100,2,19,10.526316000000
China,Xuzhou Guanyin,NTD Caps,Full Flavor,SSL,100,1,70,1.428571000000
India,Bangalore,Regular,Full Flavor,SSL,KS,1,49,2.040816000000
Spain,Granada,Regular,Full Flavor,STD,KS,5,7,71.428571000000
China,Yinchuan Hedong,Regular,Lights,STD,KS,2,73,2.739726000000
Macedonia,Skopje,Regular,Lights,SSL,100,1,33,3.030303000000
Macau,Macau,Regular,Lights,STD,KS,2,24,8.333333000000
Spain DP,Ibiza,Menthol,Full Flavor,STD,KS,2,41,4.878049000000
Morocco,Rabat,Menthol,Full Flavor,STD,KS,4,72,5.555556000000
Turkey,Ankara Airport,NTD Caps,Full Flavor,STD,KS,9,87,10.344828000000
Hong Kong,Hong Kong,NTD Caps,Full Flavor,STD,KS,1,42,2.380952000000
Dominican Republic,Puerto Plata,Regular,Full Flavor,SSL,100,3,27,11.111111000000
Canary Islands,Gran Canaria,Menthol,Full Flavor,STD,KS,2,42,4.761905000000
Greece,Kavala,Regular,Full Flavor,STD,KS,13,17,76.470588000000
Great Britain,Newcastle,Regular,Full Flavor,STD,100,2,25,8.000000000000
Grenada,St. George's Point Saline,Menthol,Full Flavor,STD,100,1,25,4.000000000000
Spain,Alicante,Regular,Full Flavor,STD,KS,29,46,63.043478000000
Turkey,Samsun Airport,Menthol Caps,Full Flavor,STD,KS,2,70,2.857143000000
China,Qingdao Liuting,Menthol,Full Flavor,SSL,100,1,73,1.369863000000
Morocco,Ouarzazate,Regular,Lights,STD,KS,3,46,6.521739000000
Indonesia,Ngurah Rai,Regular,Full Flavor,SSL,KS,2,73,2.739726000000
Greece,Mitilini,Regular,Full Flavor,SSL,100,2,15,13.333333000000
Italy,Palermo,Regular,Lights,STD,KS,2,10,20.000000000000
Morocco,Ouarzazate,Regular,Full Flavor,STD,KS,29,46,63.043478000000
Turkey,Samsun Airport,NTD Caps,Full Flavor,SSL,100,1,70,1.428571000000
